,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,MnO,TiO2,P2O5,Cr2O3,Cu,Ni,Pb,SO3,Sr,Zn,TOT/C,TOT/S,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,
MH04,52.22,12.08,11.24,8.54,12.06,2.56,0.26,0.18,0.58,0.05,0.15,92,266,10,,51,41,0.05,,117,,53.6,0.4,12.1,1.6,2.5,5.3,,120.0,0.2,2.2,0.6,209,0.5,57.0,13.2,7.6,14.8,1.73,7.5,1.79,0.65,1.97,0.38,2.07,0.51,1.46,0.24,1.40,0.23,
MH06,51.80,16.31,8.86,12.80,7.62,1.39,0.45,0.14,0.48,0.05,0.04,72,82,,,,51,0.03,,145,,33.8,0.1,14.5,1.3,2.4,13.4,,148.0,0.2,2.1,0.5,184,,49.1,12.5,7.9,12.5,1.82,7.3,1.67,0.56,2.02,0.33,2.29,0.48,1.27,0.18,1.33,0.20,
MH10,64.83,15.94,4.30,3.21,3.06,6.32,1.26,0.04,0.53,0.31,0.01,20,51,20,,572,41,0.03,,813,3,10.6,0.9,18.3,4.2,3.5,24.3,1,547.8,0.2,10.2,1.4,103,0.9,145.7,15.0,71.9,125.4,16.11,64.1,10.24,2.54,5.79,0.68,2.81,0.47,1.26,0.17,1.02,0.17,
MH13,52.98,12.77,11.20,9.87,10.39,1.37,0.37,0.17,0.62,0.06,0.11,51,164,41,,,62,,,136,,44.0,0.2,13.7,1.6,2.5,11.4,,100.1,0.2,2.7,0.5,200,,60.7,14.4,9.4,16.5,2.25,8.8,1.89,0.62,2.37,0.40,2.61,0.56,1.57,0.24,1.61,0.24,
MH14,51.01,16.41,7.08,13.96,9.41,1.15,0.37,0.13,0.30,0.02,0.08,122,163,20,,82,31,0.03,0.02,113,,35.2,,11.9,0.8,1.4,8.4,,147.8,0.1,1.0,0.3,158,1.3,28.1,7.6,4.2,7.1,0.95,4.1,1.04,0.37,1.10,0.21,1.34,0.28,0.81,0.13,0.75,0.13,
MH15,54.34,6.39,10.55,6.95,20.86,0.03,0.02,0.19,0.32,,0.27,21,356,21,,,52,0.08,,5,1,68.0,,7.0,0.6,1.4,0.9,,15.7,0.1,1.1,0.2,151,0.8,28.5,8.5,2.9,5.3,0.84,3.9,1.04,0.33,1.11,0.21,1.26,0.30,0.94,0.13,0.86,0.14,
MH20,53.46,14.58,11.01,10.49,7.25,1.45,0.69,0.17,0.70,0.07,0.03,82,72,21,,31,62,0.02,,228,,39.6,0.2,14.9,2.0,3.8,21.9,,144.9,0.3,3.5,0.5,237,0.7,78.7,18.8,9.1,18.0,2.39,10.7,2.38,0.72,2.80,0.45,3.19,0.69,1.95,0.24,1.79,0.31,
MH24,58.99,17.45,10.69,0.54,7.99,2.23,1.01,0.05,0.84,0.05,0.06,118,65,,,54,323,0.11,,84,,18.3,1.1,19.6,2.1,3.0,98.8,1,63.0,0.1,0.7,0.5,242,,75.9,13.5,7.2,7.7,1.32,4.7,1.15,0.33,1.23,0.29,2.03,0.52,1.65,0.24,1.62,0.28,
MH25,59.94,17.16,6.88,3.12,3.90,7.78,0.10,0.10,0.75,0.07,0.09,71,122,61,,102,153,0.02,,84,,29.6,,10.5,1.8,2.3,1.5,,70.0,0.2,0.7,0.1,227,,61.2,14.1,3.8,8.1,1.22,5.4,1.57,0.56,2.13,0.41,2.47,0.53,1.69,0.23,1.61,0.26,
MH26,48.17,5.34,14.11,2.87,28.30,0.00,0.06,0.15,0.28,0.03,0.54,32,973,,,22,97,0.03,,13,,107.0,0.4,5.8,0.7,1.2,3.2,,11.8,,0.9,0.1,124,0.8,22.6,4.3,3.8,5.3,0.67,2.9,0.74,0.20,0.75,0.15,0.81,0.17,0.58,0.08,0.59,0.09,
MH28,47.96,8.75,13.23,4.91,23.89,0.03,0.00,0.17,0.40,0.04,0.49,32,731,42,,,233,,,3,1,81.6,,9.1,1.1,1.8,0.6,,10.1,0.1,1.4,0.2,160,0.9,35.1,8.3,5.7,10.2,1.29,5.2,1.28,0.44,1.28,0.26,1.45,0.33,0.94,0.14,0.87,0.15,
MH30,60.89,14.98,7.72,6.71,5.13,3.56,0.04,0.16,0.60,0.05,0.08,21,154,,,82,62,0.02,,61,1,42.3,,12.8,1.3,2.0,1.2,,111.3,0.1,0.6,0.2,197,,52.8,18.2,5.5,10.6,1.73,7.2,2.16,0.61,2.76,0.51,3.33,0.69,1.89,0.28,2.02,0.29,
MH31,54.31,13.96,11.02,8.76,8.36,1.78,0.71,0.17,0.67,0.06,0.07,124,93,103,,124,72,,,274,,35.3,0.3,15.3,2.0,3.1,21.4,,170.0,0.2,3.1,0.7,225,,71.7,18.9,9.0,14.8,2.34,9.9,2.22,0.73,2.75,0.46,3.08,0.67,1.98,0.26,1.84,0.29,
MH34,69.62,16.69,3.06,0.70,1.53,6.24,1.47,0.02,0.52,0.07,,20,,20,,143,10,0.04,,403,2,4.3,1.2,18.6,3.6,2.6,34.3,,84.6,0.2,6.6,1.7,61,0.5,130.7,8.1,40.6,89.9,9.41,33.8,5.10,1.29,2.61,0.34,1.27,0.23,0.67,0.09,0.55,0.08,
MH35,65.43,15.54,5.34,1.12,4.32,4.25,2.86,0.05,0.59,0.27,0.03,31,62,339,,277,51,0.05,,973,2,12.7,9.5,19.0,3.9,4.0,102.4,1,247.2,0.2,8.2,1.2,118,1.1,152.0,9.8,41.4,57.2,9.65,39.8,6.39,1.42,3.68,0.42,1.93,0.34,0.92,0.11,0.85,0.14,
MH36,65.84,15.61,5.73,1.71,4.08,5.80,0.19,0.08,0.59,0.27,0.03,41,52,62,,206,41,0.06,,65,3,18.6,0.2,15.9,3.2,3.1,4.8,,145.4,0.1,7.8,0.8,114,,138.8,10.9,23.1,85.1,6.06,22.3,3.83,1.02,2.95,0.36,1.88,0.31,0.91,0.13,0.88,0.13,
MH37,65.79,16.22,4.00,2.60,2.72,6.75,0.85,0.04,0.53,0.31,0.01,31,41,31,,468,31,,,707,2,5.1,0.8,19.0,3.6,3.0,16.8,1,446.9,0.2,10.5,1.2,89,0.7,135.2,11.7,54.1,123.6,13.17,47.4,7.22,1.84,4.60,0.54,2.20,0.35,0.82,0.13,0.90,0.13,
MH38,66.73,15.82,5.29,0.36,4.32,5.64,0.76,0.02,0.61,0.03,0.03,73,104,2646,,270,93,0.18,,200,2,37.6,2.5,19.2,4.1,4.3,30.6,1,245.3,0.2,8.2,1.6,112,1.1,156.4,14.4,41.1,73.3,10.40,44.3,7.32,1.72,5.04,0.54,2.54,0.46,1.15,0.14,0.99,0.17,
MH39,72.72,17.16,1.24,0.07,0.50,5.00,2.94,0.01,0.15,0.01,,,,,,173,,,,1411,1,3.4,1.7,16.8,4.4,6.0,63.4,,82.3,0.5,8.9,1.7,18,2.2,153.8,9.5,38.3,70.1,7.59,27.3,3.99,0.80,2.38,0.30,1.42,0.30,0.93,0.14,0.99,0.19,
