Unique_ID﻿,SampleID,Location,Reference(s),Plume,Geochemical affinity1,Lat,Lon,Age,Age_rounded,SiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,SO3,L.O.I,SUM(volatile free),Unnamed: 21,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Th,U,Unnamed: 62,143Nd/144Nd,2s_Nd,87Sr/86Sr,2s_Sr,206Pb/204Pb,2s_206Pb,207Pb/204Pb,2s_207Pb,208Pb/204Pb,2s_208Pb,176Hf/177Hf,2s_Hf,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,87Sr/86Sr_i,143Nd/144Nd_i,176Hf/177Hf_i,143Nd,Delta_DM
1,MSM82-6-DR-1,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.16,-30.1525,65,70,51.92,13.85,11,0.1946,6.45,6.43,3.494,0.44,2.006,0.4424,,3.58,96.227,,79.48,42.68,360.2,24.79,38.55,52.13,220.4,172.6,,6.497,196.8,23.19,91.22,10.98,0.7144,0.7917,0.5526,0.744,61.44,10.42,23.6,3.224,14.85,3.97,1.471,4.562,0.7514,4.851,0.9725,2.803,0.3949,2.598,0.3622,2.617,0.6794,0.1644,0.1098,1.067,0.8959,0.4478,,0.512723188,4.86E-06,0.704349188,0.0000046,18.40362488,0.000879391,15.54977047,0.000789219,38.69972997,0.002321864,0.282942409,2.39E-06,18.13290843,15.53696236,38.52184592,0.704261015,0.512654769,0.28294227,0.512654769,-6.970135458
2,MSM82-6-DR-2,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.16,-30.1525,65,70,46.95,15.4,11.9,0.1782,7.376,9.219,3.237,0.5666,1.832,0.3062,,2.84,96.965,,63.03,42.55,389.7,44.63,49.27,62.85,213.7,131.5,,44.84,197.7,26.83,94.05,10.11,0.464,0.8193,0.5607,8.195,57.88,9.537,20.57,3.07,14.27,3.989,1.479,4.679,0.7915,5.093,1.061,3.007,0.4271,2.774,0.3971,2.564,0.6357,0.2002,0.1329,0.8246,0.7895,0.5188,,0.5127331,0.000005,0.70441012,0.0000046,18.22348785,0.001748661,15.52170152,0.001567034,38.51652812,0.004143614,0.282957222,3.21E-06,17.81980521,15.50260252,38.31476622,0.70380435,0.512661559,0.282957052,0.512661559,-6.837770836
3,MSM82-6-DR-5,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.16,-30.1525,65,70,47.41,15.04,10.94,0.1608,7.827,9.41,3.052,0.5344,1.939,0.3533,,3.12,96.6665,,78,45.15,361.1,121.8,39.92,67.32,191.8,102.5,,6.283,207.8,24.11,94.69,10.72,0.3277,0.9399,0.229,0.532,57.22,9.912,20.76,3.149,14.5,3.88,1.441,4.423,0.7307,4.691,0.9633,2.736,0.3824,2.493,0.3477,2.663,0.6869,0.1748,0.02955,0.9383,0.7755,0.3343,,0.512708,0.0000048,0.70436495,0.0000048,18.21541992,0.00161165,15.53146497,0.00143773,38.51133387,0.003636196,0.282928735,2.68E-06,17.98682979,15.52064993,38.33717332,0.704284195,0.512639518,0.28292861,0.512639518,-7.267416517
4,MSM82-6-DR-20,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.16,-30.1525,65,70,47.19,14.7,11.91,0.1859,7.685,10.39,2.95,0.4277,1.572,0.2215,,2.57,97.2321,,62.17,43.56,347.3,98.99,51.97,76.29,194,127.9,,15.47,190.2,24.33,76.19,8.22,0.5903,0.7733,0.3662,2.118,43.5,7.792,16.99,2.584,12.22,3.469,1.315,4.191,0.7128,4.628,0.9685,2.763,0.3893,2.514,0.3603,2.217,0.5295,0.1387,0.2086,1.078,0.6493,0.276,,0.512734065,4.98E-06,0.704277388,0.000005,18.15193276,0.002265802,15.52090423,0.001940384,38.42918277,0.005000669,0.282962698,2.69E-06,17.98801475,15.51314895,38.3025314,0.704060156,0.512661413,0.282962536,0.512661413,-6.840609978
5,MSM82-6-DR-48,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-34.16,-30.1525,65,70,46.89,14.37,13.57,0.1695,6.65,8.769,3.399,0.7732,2.107,0.4134,,2.69,97.1111,,56.66,43.69,421.8,24.88,37.68,35.02,183.2,130.4,,18.52,191.5,30.09,105.6,12.37,0.3535,1.055,0.5193,1.503,96.97,10.2,23.09,3.341,15.55,4.388,1.614,5.233,0.8913,5.815,1.211,3.482,0.4935,3.258,0.4601,3.019,0.8094,0.1385,0.0286,1.114,0.9613,0.4673,,,,,,,,,,,,,,,,,,,,,
6,MSM82-6-DR-42,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.16,-30.1525,65,70,47.92,16.63,11.21,0.1381,4.822,11.59,2.925,0.7417,1.951,0.3338,,1.53,98.2616,,17.9,37.32,363.4,57.94,45.93,52.37,172.5,84.24,,12.98,275.5,26.69,123.7,11.98,0.5983,1.096,0.2699,1.03,143.9,12.5,30.35,3.969,17.88,4.66,1.713,5.184,0.8553,5.478,1.098,3.146,0.4409,2.91,0.4072,3.215,0.732,0.1024,0.04327,1.325,1.289,0.3095,,0.5126804,0.0000052,0.70423065,0.0000052,17.78356006,0.001888158,15.46848291,0.001774086,38.24406811,0.004777122,0.282955947,2.22E-06,17.63524819,15.46146599,38.0411994,0.704104817,0.512613699,0.282955805,0.512613699,-7.770694913
7,MSM82-7-DR-2,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.17,-30.16361111,65,70,45.69,14.21,12.87,0.1749,6.727,9.507,2.993,0.6202,2.052,0.3319,,4.63,95.176,,45.53,42.61,411.4,35,44.18,54.66,237.7,119.4,,30.68,204,25.9,99.11,12.15,0.4847,1.037,0.6075,5.163,67.29,10.81,25.14,3.55,16.54,4.453,1.639,5.146,0.8438,5.414,1.086,3.102,0.436,2.86,0.4001,2.798,0.7506,0.1832,0.0587,1.699,0.95,0.8441,,0.512701,0.0000042,0.70438905,0.0000044,18.18094074,0.000997433,15.52903766,0.000837121,38.48288174,0.00205136,0.28293113,2.05E-06,17.86246503,15.51396996,38.36516102,0.703987376,0.512632098,0.282930972,0.512632098,-7.412046492
8,MSM82-7-DR-4,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.17,-30.16361111,65,70,46.56,13.93,13.96,0.1703,6.8,8.995,3.225,0.7759,2.174,0.335,,2.87,96.9252,,56.91,42.85,414.3,21.65,58.22,55.93,117.8,137.4,,11.9,197.4,29.9,101.8,12.7,0.4524,1.038,0.7448,0.6026,71.81,13.11,26.64,3.806,17.38,4.66,1.701,5.591,0.9458,6.173,1.265,3.689,0.5261,3.461,0.4973,2.846,0.7807,0.2058,0.03558,1.349,1.031,0.6468,,0.512754778,4.61E-06,0.704254358,0.0000046,18.17526118,0.000638039,15.51512438,0.000746682,38.42099902,0.002497424,0.282966875,1.94E-06,17.86825362,15.50059926,38.26027358,0.704093351,0.512686158,0.282966634,0.512686158,-6.358278728
9,MSM82-10-DR-1,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-33.8,-30.69722222,65,70,48.86,14.63,12.97,0.1922,5.401,10.84,2.968,0.7399,2.16,0.3542,,0.68,99.1153,,23.01,42.64,403.3,59.78,55.52,52.55,174.5,98.38,,17.12,251.2,30.3,130.8,12.92,0.8364,1.237,0.3574,1.615,139.8,13.49,33.12,4.318,19.43,5.125,1.874,5.813,0.9748,6.266,1.266,3.63,0.5157,3.352,0.4783,3.475,0.7951,0.1706,0.08238,1.829,1.503,0.356,,,,,,,,,,,,,,,,,,,,,
10,MSM82-10-DR-2,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.8,-30.69722222,65,70,48.06,16.76,10.72,0.1313,4.727,11.5,2.889,0.6539,1.949,0.2953,,2.12,97.6855,,14.22,38.18,347.6,60.86,45.41,58.46,160.3,82.76,,10.49,269.7,29.81,135.9,12.29,0.6179,1.201,0.2403,0.7032,134.1,12.66,29.04,4.044,18.49,4.887,1.768,5.54,0.9229,5.892,1.21,3.423,0.4815,3.133,0.4457,3.628,0.8089,0.1164,0.03451,1.551,1.372,0.3307,,0.5126863,0.0000054,0.70423245,0.000004,17.82304077,0.0007725,15.47028763,0.000789126,38.28285869,0.00248588,0.282953229,2.82E-06,17.68751172,15.46387549,38.09818748,0.704128569,0.512618657,0.282953077,0.512618657,-7.6740395
