SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655356999999995,-27.318659000000000,564838,6978099,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20250611
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347188000000003,-26.869470000000000,633823,7027311,50,Au Ag,Precious metal,GOLD,Aladdin,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20250611
S0000046,Bluebird,Bluebird - Bluebird South,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.425101999999995,-26.716249000000001,641754,7044200,50,Au Ag,Precious metal,GOLD,Bluebird South,N,,N,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20250611
S0000053,Southern Stockworks,Boorara Open Pit - Southern Stockworks,Mine,Openpit,Operating,J02851,Boorara / Horizon,121.644084000000007,-30.809293000000000,370293,6590747,51,Au Ag,Precious metal,GOLD,Boorara,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000077,Butterfly 1,Butterfly 1,Mine,Openpit,Operating,J02010,Ulysses Gold,121.380351000000005,-29.198008999999999,342537,6768990,51,Au Ag,Precious metal,GOLD,Butterfly,N,,N,,Operating Mine,Public,3139,MELITA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",40,NIAGARA,Eastern Goldfields Superterrane,20250611
S0000102,OK,OK,Mine,Decline,Operating,J00056,Central Norseman,121.784904999999995,-32.218563000000003,385497,6434690,51,Au Ag,Precious metal,GOLD,OK,N,,N,,Operating Mine,Public,3233,NORSEMAN,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20250611
S0000181,Morrison,Morrison,Mine,Openpit,Operating,J00102,Golden Mile / KCGM,121.508465999999999,-30.789484000000002,357289,6592777,51,Au Ag,Precious metal,GOLD,Morrison,N,,N,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000201,Frasers UG,Frasers Underground,Mine,Decline,Operating,J00226,Marvel Loch - Southern Cross,119.331199999999995,-31.239559000000000,722020,6541505,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2735,SOUTHERN CROSS,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0000249,Golden Spec,Golden Spec,Mine,Shaft,Operating,J00126,Blue Spec / Novo,120.263907000000003,-21.823157999999999,217151,7584235,51,Au Sb Ag,Precious metal,GOLD,,N,,,,,Public,2954,NULLAGINE,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Mosquito Creek Basin,20250611
S0000258,Goongarrie Lady,Goongarrie Lady,Mine,Openpit,Operating,J04956,Goongarrie Lady,121.184481000000005,-30.081354000000001,325026,6670810,51,Au Ag,Precious metal,GOLD,Goongarrie Lady,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20250611
S0000275,Hawkins Find,Hawkins Find,Mine,Openpit,Operating,J01884,Hawkins Find,121.021960000000007,-30.498387000000001,310164,6624323,51,Au Ag,Precious metal,GOLD,Hawkins Find,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20250611
S0000278,Great Fingall Deeps,Great Fingall Deeps,Mine,Shaft,Under Development,J00017,Cue Gold - Central Murchison,117.850403000000000,-27.461590000000001,584027,6962150,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",21,DAY DAWN,Youanmi Terrane,20250611
