Body,Sample,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cr_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Al_pct,Fe_pct,S_ppm,Sb_ppm,Te_ppm,Ti_pct,Co_ppm,Ni_ppm,Ba_ppm,Cd_ppm,Mg_pct,Mn_pct,Sc_ppm,V_ppm,Ca_pct,K_pct,Na_pct,P_pct,La_ppm,Se_ppm,W_ppm,Zr_ppm,Nb_ppm,Th_ppm,U_ppm,Y_ppm,Hf_ppm,Rb_ppm,Sr_ppm,Mo_ppm,Sn_ppm,Tl_ppm,In_ppm,Re_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG101/062,3414,0.354,646.7,14.04,45,263.27,3.77,66.9,1.12,21.19,23000,1.44,0.44,0.045,6.5,44.2,18,0.09,1.24,0.1434,2.5,17,6.07,0.27,0.034,0.029,8,0.5,35.9,11.3,1.2,1,0.3,6.6,0.28,35.9,44,0.67,1.1,0.43,0.16,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG101/063,59,0.036,32.1,0.71,43,82.64,2.34,91,0.63,22.17,5800,70,0.13,0.033,5.6,26,11,0.29,1.45,0.1752,1.6,12,6.76,0.08,0.011,0.046,5.2,1.1,0.8,9.9,0.79,0.8,0.2,9.6,0.3,7.4,51,0.53,0.9,0.12,0.18,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG101/065,156,0.045,102.3,0.82,70,45.96,1.36,148.2,1.49,25.26,2300,0.92,0.1,0.069,12,77.4,22,0.24,2.18,0.2444,4.3,28,2.48,0.18,0.012,0.031,3.7,0.15,0.5,17.4,1.55,1.3,0.4,5.9,0.54,15.7,21,1.65,1,0.21,0.15,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG101/066,87,0.136,76.2,0.59,47,42.87,1.46,138.7,0.94,23.1,2300,1.25,0.025,0.046,7.5,42.7,20,0.3,2.04,0.2289,2.4,17,3.25,0.15,0.016,0.034,4.3,0.15,1,11.1,0.95,1,0.3,5.3,0.25,13.8,28,0.72,0.8,0.18,0.13,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG101/072,368,0.065,466.8,1.41,69,22.45,1.43,608,2.09,23.2,2200,1.21,0.28,0.083,11,69.5,24,0.39,1.29,0.3826,4.3,24,5.24,0.23,0.03,0.03,13.4,0.15,1,36.1,2.33,2.1,0.6,9.3,0.97,31.4,37,1.51,2.1,0.35,0.48,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG101/073,147,0.044,537.1,0.65,108,16.38,1.81,595.8,2.77,27.25,1900,1.06,0.29,0.109,19.8,109.2,12,1.34,1.58,0.3917,6.1,34,3.19,0.14,0.012,0.036,7.7,0.15,1.1,33.5,2.31,2.6,0.8,7.8,0.98,16.5,31,2.01,2,0.22,0.64,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/088,24,0.032,8.7,0.26,19,41.21,1.03,175.6,0.34,33.13,3300,0.79,0.1,0.017,4.4,19,5,0.09,1.06,0.1264,0.8,6,2.4,0.05,0.023,0.029,2.7,0.15,0.7,4.8,0.49,0.3,0.1,4,0.14,8.8,16,0.83,2.4,0.025,0.15,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/094,5198,0.594,6060.8,20,62,74.06,8.18,194.7,1.76,23.19,26400,3.66,0.69,0.074,14.4,50.1,35,0.09,2.07,0.2764,4.4,27,4.33,0.66,0.085,0.032,7.5,0.6,1.7,25.2,1.82,1.6,0.5,6.4,0.65,83.8,60,0.63,3.5,1.13,0.32,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/098,55,0.051,78.5,0.24,17,20.36,0.91,175.1,0.39,32.59,1600,1.01,0.07,0.019,4.1,22.5,7,0.07,1.33,0.2716,1.1,6,3.38,0.08,0.035,0.035,3.9,0.15,0.4,5.2,0.61,0.5,0.1,5.4,0.18,11.3,44,0.67,2.5,0.08,0.34,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/101,102,0.039,345.3,0.33,23,46.46,1.28,109.1,0.45,33.71,4600,1.07,0.04,0.023,8.8,26.8,7,0.07,0.91,0.2145,1.3,10,2.43,0.07,0.028,0.028,3.6,0.4,0.4,6.5,0.51,0.4,0.1,4.4,0.21,10,21,1.2,2.5,0.09,0.23,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/102,68,0.076,309.4,0.34,67,79.21,1.62,168,1.55,25.16,7800,1.34,0.1,0.066,11.3,73.3,15,0.11,1.14,0.2386,4.5,27,1.64,0.12,0.026,0.039,6.3,0.7,0.7,20.7,1.44,1.7,0.4,6.9,0.48,14.4,13,1.4,1.8,0.17,0.25,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
