Body,Sample,Co_ppm,Ni_ppm,Al_pct,Ti_pct,S_ppm,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Sn_ppm,Sr_ppm,Th_ppm,Be_ppm,Tl_ppm,U_ppm,W_ppm,Y_ppm,Zr_ppm,Cs_ppm,Ga_ppm,Hf_ppm,In_ppm,Rb_ppm,Re_ppm,Mg_pct,Mn_pct,Mo_ppm,Nb_ppm,Sb_ppm,Sc_ppm,Ta_ppm,Te_ppm,V_ppm,Ca_pct,K_pct,La_ppm,Li_ppm,Na_pct,P_pct,Se_ppm,Ba_ppm,Cd_ppm,Fe_pct,Cr_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/223,18.9,93.4,0.83,0.04,82100,2701,2.028,517.1,16.81,650.26,6.77,75.8,1.4,11,0.7,0.5,0.89,0.2,77.3,3.3,10.1,23,3.44,0.2,0.09,62.3,0.002,0.97,0.1037,0.72,0.79,0.9,2,0.05,0.53,16,2.15,0.54,3.2,3.4,0.01,0.033,0.6,32,0.5,30.98,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/224,9.6,74.4,1.13,0.051,70100,301,1.446,167.3,8.09,603.35,7.95,77.4,2,11,1,0.5,0.86,0.3,4,5.3,13.9,23,3.91,0.39,0.1,63,0.001,0.98,0.1231,0.67,0.85,0.34,2.6,0.05,0.13,20,3.68,0.66,5,5.6,0.024,0.029,0.4,48,0.51,24.63,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/225,6.9,83.7,1.94,0.098,84500,210,1.391,12.2,10.25,628.17,9.26,132.1,3.6,11,1.9,2,1.64,0.5,1,5.7,25.3,42.3,6.77,0.71,0.19,113.3,0.003,1.49,0.1362,0.6,1.47,0.14,4.6,0.1,0.26,33,2.47,1.33,6.9,13.6,0.061,0.038,0.6,56,0.63,30.37,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/227,14.4,78,1.7,0.084,67800,389,1.488,274.9,9.06,499.47,7.24,121,2.8,11,1.6,1,1.78,0.5,0.4,4.1,22.7,48.4,6.23,0.64,0.16,125.4,0.004,1.54,0.1434,0.64,1.57,0.53,4.7,0.1,0.21,31,2.24,1.22,6.4,12.1,0.008,0.029,0.8,42,0.54,27.15,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/229,11.6,64.9,1.42,0.06,35300,3176,1.468,330.8,15.69,300.1,6.12,275.8,2.5,11,1.2,0.5,0.87,0.3,0.6,5.3,17,44.7,6.39,0.51,0.22,74.2,0.002,1.22,0.1653,0.6,1.35,0.58,3.3,0.1,0.78,23,2.76,0.77,5,5.9,0.144,0.034,0.4,66,0.64,28.17,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/239,23.4,75.9,2.33,0.096,53800,3849,1.073,195.2,21.54,482.56,14.82,118.1,2.8,11,2.3,2,1.46,0.6,1.4,7.3,30.5,42.8,11.22,0.76,0.27,101.9,0.001,1.43,0.1363,0.76,2.52,0.51,5.7,0.2,0.97,39,3.5,1.25,8.7,16.3,0.187,0.032,0.7,60,0.77,23.07,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/244,7.8,45.2,0.67,0.03,23100,1026,0.402,2.3,3.42,162.65,3.38,141.3,2.7,11,0.7,0.5,0.63,0.2,0.3,4.1,8.2,15.5,6.92,0.24,0.18,42.7,0.001,0.55,0.125,0.52,0.79,0.15,1.7,0.05,0.13,12,2.36,0.44,3.7,3.7,0.006,0.027,0.4,29,0.59,35.48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/247,34.9,129.2,0.72,0.051,82700.01,839,1.229,743,8.55,782,3.35,40.2,1,11,1.6,0.5,0.57,0.3,0.2,3.3,13.7,12.9,2.87,0.4,0.08,37.4,0.009,0.87,0.1284,1.15,1.64,0.28,2.5,0.1,0.62,14,2.09,0.45,6.6,5.5,0.007,0.026,3.7,34,0.36,23.56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG112/248,39.6,221.5,0.65,0.035,100000,616,1.209,25.9,8.72,1598.47,3.75,37.4,0.9,11,0.7,0.5,0.51,0.2,2.4,3.3,9.6,10.6,2.71,0.26,0.09,31.9,0.004,0.69,0.0941,0.62,1.06,0.06,2.1,0.05,0.6,13,1.98,0.34,5,4.2,0.005,0.027,4.1,17,0.3,35.66,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/183,69.9,127.8,0.3,0.014,58100,783,1.491,0.9,11.56,2177.68,4.5,164.4,0.6,8,0.4,0.5,0.28,0.1,0.2,3.2,4,9.5,2.77,0.1,0.13,19,0.001,1.51,0.1266,0.32,0.38,0.19,0.9,0.05,0.44,7,0.58,0.22,1.1,1.6,0.011,0.044,0.15,17,0.28,26.06,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/184,42.2,83.2,1.64,0.151,46400,1080,1.481,0.9,12.96,1528.97,5.38,130.9,2,34,0.6,0.5,1.51,0.2,0.6,4.4,23.3,33.5,7.43,0.65,0.1,110.7,0.001,2.14,0.1152,0.31,1.76,0.1,6.9,0.1,0.75,50,2.24,1.28,3.5,9.8,0.015,0.035,0.15,37,0.4,22.01,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/192,10.6,63.5,2.56,0.096,69400,1435,1.359,2.4,26.28,821.6,6.96,157.5,3.1,32,2.3,1,2.41,0.6,0.4,3.9,26.9,67.4,10.61,0.59,0.22,185.8,0.003,2.58,0.0891,0.4,2.46,0.08,6.4,0.2,2.36,40,1.58,1.93,5.6,26.1,0.01,0.032,0.15,54,0.63,24.66,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
