SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,AGE,MAX AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE4_HE3,HE3_HE4_R_RA,IGSN,EXPEDITION ID,LOC PREC,METHOD,SI,MN,NI,CO,CU,CD,ZN,AS,AG,S,AL,CA,MG,PB207_PB206,PB208_PB206,HF176_HF177_INI,RE187_OS188,OS187_OS188,OS187_OS188_INI,OS187_OS186,OS186_OS188,OS184_OS188,HF176_HF177_INI,ND143_ND144_INI,PB206_PB204_INI,PB207_PB204_INI,PB208_PB204_INI,SR87_SR86_INI,HE3,HE4,AL,CA,K,MG,N,NA,P,PA,SI,TI,AS,AS,GER,INDIUM
MELWEST-10-108-003,"SCHILLING, 1999",FRACTURE_ZONE,MORB-Arctic,66.29,-17.11,25,25,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,202,,,,,,,,,,,,,,,,,,,19.09,5.46,,,,,,,,,,,,,,,,,,,0.84,,0.987,0.288,0.513042,0.703,18.457,15.443,38.116,,,,,,nr,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEM0033-1-002-019,"ANDRES, 2004; SCHILLING, 1999",FRACTURE_ZONE,MORB-Arctic,66.29,-17.11,25,25,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,202.6,,,,,,,,,,,,,,,,,,,19.34,5.35,,,,,,,,,,,,,,,,,,,0.832,,0.977,0.281,0.513022,0.703183,18.482,15.47,38.199,0.283198,,,,,nr,0.01,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELWEST-10-138-001,"SCHILLING, 1999",FRACTURE_ZONE,MORB-Arctic,66.30,-17.12,1,1,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,204.2,,,,,,,,,,,,,,,,,,,15.88,4.62,,,,,,,,,,,,,,,,,,,0.853,,1.006,0.307,0.513016,0.70313,18.48,15.458,38.17,,,,,,nr,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET64/1-214-001,"ELKINS, 2011; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,66.51,-17.34,-72,-72,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,99.9,,,,,,,,,,,,,,,,,,,3.83,1.79,,,,,,,,,,,,,,,,,,,0.143,,0.0345,0.0113,0.513131,0.703009,18.234,15.44,37.817,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-1-028,"SCHILLING, 1999",FRACTURE_ZONE,MORB-Arctic,66.54,-18.02,40,40,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,107.3,,,,,,,,,,,,,,,,,,,8.76,3.13,,,,,,,,,,,,,,,,,,,0.408,,0.217,0.062,0.513073,0.702914,18.01,15.404,37.56,,,,,,nr,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-2-R116-002,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 1983; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,66.64,-17.78,-195,-195,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,3972,265,,,44.9,170,129.8,56.3,14.07,,,,,0.5,96.9,16,34.5,0.807,0.117,,,,0.069,,0.087,0.032,,,0.016,9.57,0.7,3,0.51,2.9,1.22,0.57,1.89,0.35,2.53,0.56,1.64,0.27,1.64,0.253,0.93,0.049,0.06,,,,,,0.011,0.371,,0.042,0.06,0.513052,0.702839,17.9847,15.4209,37.6437,0.283209,,,,URI900431,TRI0139,0.01,HR-ICP-MS; INAA; MC-ICP-MS; MS,,,170,44.9,129.8,0.069,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972,,,,
AII0127-2-R089,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 1999",FRACTURE_ZONE,MORB-Arctic,66.74,-18.01,-345,-345,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,3598,235.1,464,,52.1,210.7,129.3,59.9,13.83,,,,,0.58,79.6,16.9,30.5,0.339,0.087,,,,0.046,,0.074,0.043,,,0.061,2.02,0.59,3.01,0.53,3,1.25,0.54,1.96,0.373,2.65,0.59,1.76,,1.74,0.27,0.81,0.023,0.056,,,,,,0.102,0.155,,0.016,0.005,0.5131,0.703391,17.9527,15.4285,37.5836,0.283305,,,,URI900429,TRI0139,0.01,HR-ICP-MS; MC-ICP-MS; MS,,,210.7,52.1,129.3,0.046,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598,,,,
POS0158-458-001,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,66.81,-18.15,-192,-192,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,3694,244,443,,51.8,194.2,56.2,57.8,19.53,,,,,0.13,60.2,15.6,26.8,0.302,0.168,,,,0.081,,,0.063,,,0.014,1.71,0.44,1.97,0.34,2.04,0.91,0.51,1.69,0.312,2.28,0.51,1.53,,1.6,0.246,0.77,0.022,0.103,,,,,,0.01,0.109,,0.017,0.009,0.513163,0.702835,17.822,15.453,37.436,0.283307,,,,URI900421,TRI0139,0.01,HR-ICP-MS; ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,194.2,51.8,56.2,0.081,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3694,,,,
ALV0527-006-001,"KELLEY, 2013; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,66.81,-18.15,-192,-192,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,3699,248,427,,49,153.8,115.9,57.5,13.94,,,,,0.1,69.4,16.9,21.9,0.299,0.066,,,,0.033,,0.127,0.027,,,0.01,2.07,0.39,2.17,0.4,2.48,1.13,0.53,1.85,0.369,2.59,0.6,1.79,,1.75,0.268,0.69,0.021,0.054,,,,,,0.008,0.087,,0.013,0.011,0.513176,0.702836,18.003,15.431,37.629,,,,,URI900423,TRI0139,0.01,HR-ICP-MS; MS,,,153.8,49,115.9,0.033,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3699,,,,
JCK0007-005-001-002,"KELLEY, 2013; SCHILLING, 1983; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,66.81,-18.15,-192,-192,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,3634,250,499,,52.8,196.7,55.1,56.8,14.02,,,,,0.02,70,14.1,26.4,0.282,0.071,,,,0.029,,0.083,0.027,,,0.008,1.81,0.18,1.44,0.27,1.66,0.85,0.46,1.5,0.288,2.12,0.48,1.46,0.24,1.45,0.228,0.74,0.019,0.045,,,,,,0.007,0.085,,0.01,0.008,0.513159,0.702805,18.145,15.432,37.698,,,,,URI900422,TRI0139,0.01,HR-ICP-MS; INAA; MS,,,196.7,52.8,55.1,0.029,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634,,,,
